GN,GN Latitude,GN Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Hewagama,6.9313808,79.9766195,Kaduwela Bus Stand,6.936340990890383,79.98324180233757,Bus station
Kaduwela,6.929061,79.9827754,177 Bus Halt,6.9345889062879555,79.98376207818514,Bus station
Kaduwela,6.929061,79.9827754,Kaduwela Bus Stand,6.936340990890383,79.98324180233757,Bus station
Kothalawala,6.9194938,79.9780178,Waliwita Junction,6.916009236559414,79.97253102948385,Bus station
Kothalawala,6.9194938,79.9780178,Bus Halt (Malabe Campus),6.915475965929323,79.97220328567577,Bus station
Thalahena North,6.912431,79.9570411,Malabe Bus Stand,6.903928452988528,79.95521354559627,Bus station
Thalahena North,6.912431,79.9570411,Malabe Bus Station  993.336,6.903428423082764,79.9552463264135,Bus station
Malabe North,6.9139619,79.9668308,Pittugala Junction,6.910522616846376,79.97160788127276,Bus station
Malabe North,6.9139619,79.9668308,Waliwita Junction,6.916009236559414,79.97253102948385,Bus station
Malabe North,6.9139619,79.9668308,Bus Halt (Malabe Campus),6.915475965929323,79.97220328567577,Bus station
Malabe East,6.9034905,79.9724245,Pittugala Junction,6.910522616846376,79.97160788127276,Bus station
Malabe West,6.9019012,79.9598383,Malabe Bus Stand,6.903928452988528,79.95521354559627,Bus station
Malabe West,6.9019012,79.9598383,Malabe Bus Station  993.336,6.903428423082764,79.9552463264135,Bus station
Thalangama North B,6.907018,79.9514464,Malabe Bus Stand,6.903928452988528,79.95521354559627,Bus station
Thalangama North B,6.907018,79.9514464,Malabe Bus Station  993.336,6.903428423082764,79.9552463264135,Bus station
Thalahena South,6.9122534,79.9486489,Malabe Bus Stand,6.903928452988528,79.95521354559627,Bus station
Thalahena South,6.9122534,79.9486489,Malabe Bus Station  993.336,6.903428423082764,79.9552463264135,Bus station
Muttettugoda,6.9068404,79.9430537,Batapotha Junction,6.9008953131653845,79.93807842222257,Bus station
Thalangama North A,6.9168782,79.9317302,Aggona junction,6.918582164589224,79.927094004473,Bus station
Thalangama North A,6.9168782,79.9317302,Walpola,6.918600795801119,79.92707486263836,Bus station
Walpola,6.918308,79.9220686,Aggona junction,6.918582164589224,79.927094004473,Bus station
Walpola,6.918308,79.9220686,Walpola,6.918600795801119,79.92707486263836,Bus station
Walpola,6.918308,79.9220686,Pasal Mawatha Bus Stop,6.917072441956849,79.91574199215383,Bus station
Kalapaluwawa,6.9141883,79.9150724,Ambagaha Junction,6.914144832557711,79.91034148190933,Bus station
Kalapaluwawa,6.9141883,79.9150724,Pasal Mawatha Bus Stop,6.917072441956849,79.91574199215383,Bus station
Kalapaluwawa,6.9141883,79.9150724,Mahaniyara junction,6.917155795597367,79.90871251780796,Bus station
Kalapaluwawa,6.9141883,79.9150724,I.D.H bus stop,6.923119310267675,79.91322762591658,Bus station
Kotuwegoda,6.9113627,79.9066763,Ambagaha Junction,6.914144832557711,79.91034148190933,Bus station
Kotuwegoda,6.9113627,79.9066763,Bus Halt,6.908521173695136,79.89746200080755,Bus station
Kotuwegoda,6.9113627,79.9066763,Diyawannawa Bus Hault,6.903422832489014,79.90692901611328,Bus station
Kotuwegoda,6.9113627,79.9066763,Ethulkotte Junction,6.90442216085428,79.90565129541184,Bus station
Kotuwegoda,6.9113627,79.9066763,Top Of The Lane,6.906745506631871,79.90040870411153,Bus station
Kotuwegoda,6.9113627,79.9066763,Mahaniyara junction,6.917155795597367,79.90871251780796,Bus station
Kotuwegoda,6.9113627,79.9066763,Pasal Mawatha Bus Stop,6.917072441956849,79.91574199215383,Bus station
Subhoothipura,6.9062472,79.9150724,Baththaramulla Bus Halt,6.902129312296542,79.91838054154627,Bus station
Subhoothipura,6.9062472,79.9150724,Ambagaha Junction,6.914144832557711,79.91034148190933,Bus station
Subhoothipura,6.9062472,79.9150724,Diyawannawa Bus Hault,6.903422832489014,79.90692901611328,Bus station
Subhoothipura,6.9062472,79.9150724,Ethulkotte Junction,6.90442216085428,79.90565129541184,Bus station
Subhoothipura,6.9062472,79.9150724,374 Bus Halt,6.902261734008789,79.91900634765625,Bus station
Udumulla,6.9083957,79.9227682,Thalangama Bus Depot,6.905738246738507,79.92575501356171,Bus station
Udumulla,6.9083957,79.9227682,Baththaramulla Bus Halt,6.902129312296542,79.91838054154627,Bus station
Udumulla,6.9083957,79.9227682,374 Bus Halt,6.902261734008789,79.91900634765625,Bus station
Udumulla,6.9083957,79.9227682,Thalangama Bus Depot,6.905738246738507,79.92575501356171,Bus station
Udumulla,6.9083957,79.9227682,374 Bus Halt,6.902261734008789,79.91900634765625,Bus station
Udumulla,6.9083957,79.9227682,Baththaramulla Bus Halt,6.902129312296542,79.91838054154627,Bus station
Battaramulla North,6.9011316,79.9234678,Baththaramulla Bus Halt,6.902129312296542,79.91838054154627,Bus station
Battaramulla North,6.9011316,79.9234678,374 Bus Halt,6.902261734008789,79.91900634765625,Bus station
Battaramulla North,6.9011316,79.9234678,Thalangama Bus Depot,6.905738246738507,79.92575501356171,Bus station
Battaramulla North,6.9011316,79.9234678,Kandy Intercity Bus Terminal,6.89757776260376,79.92950439453125,Bus station
Batapotha,6.901428,79.9374582,Batapotha Junction,6.9008953131653845,79.93807842222257,Bus station
Batapotha,6.901428,79.9374582,Akurugoda Junction,6.894756565744236,79.94011667247932,Bus station
Batapotha,6.901428,79.9374582,Kandy Intercity Bus Terminal,6.89757776260376,79.92950439453125,Bus station
Pothuarawa,6.897724,79.9500477,Malabe Bus Stand,6.903928452988528,79.95521354559627,Bus station
Pothuarawa,6.897724,79.9500477,Malabe Bus Station  993.336,6.903428423082764,79.9552463264135,Bus station
Arangala,6.8860799,79.9626354,Hokandara 689 Bus stop,6.8803756427693195,79.95928373632191,Bus station
Evarihena,6.8832567,79.9542438,Hokandara 689 Bus stop,6.8803756427693195,79.95928373632191,Bus station
Kumaragewatta,6.885066,79.9358798,Palawathta Junction,6.889611758848715,79.92953692698619,Bus station
Kumaragewatta,6.885066,79.9358798,Akurugoda Junction,6.894756565744236,79.94011667247932,Bus station
Jayawadanagama,6.8862842,79.9409555,Akurugoda Junction,6.894756565744236,79.94011667247932,Bus station
Aruppitiya,6.8960753,79.9346603,Kandy Intercity Bus Terminal,6.89757776260376,79.92950439453125,Bus station
Aruppitiya,6.8960753,79.9346603,Akurugoda Junction,6.894756565744236,79.94011667247932,Bus station
Aruppitiya,6.8960753,79.9346603,Palawathta Junction,6.889611758848715,79.92953692698619,Bus station
Aruppitiya,6.8960753,79.9346603,Batapotha Junction,6.9008953131653845,79.93807842222257,Bus station
Asiri Uyana,6.8939867,79.9297637,Palawathta Junction,6.889611758848715,79.92953692698619,Bus station
Asiri Uyana,6.8939867,79.9297637,Kandy Intercity Bus Terminal,6.89757776260376,79.92950439453125,Bus station
Battaramulla South,6.8957198,79.9178709,Baththaramulla Bus Halt,6.902129312296542,79.91838054154627,Bus station
Battaramulla South,6.8957198,79.9178709,Epitamulla Bushalt,6.8934933377922984,79.90953793628309,Bus station
Battaramulla South,6.8957198,79.9178709,374 Bus Halt,6.902261734008789,79.91900634765625,Bus station
Rajamalwatta,6.9009536,79.9150724,Baththaramulla Bus Halt,6.902129312296542,79.91838054154627,Bus station
Rajamalwatta,6.9009536,79.9150724,Epitamulla Bushalt,6.8934933377922984,79.90953793628309,Bus station
Rajamalwatta,6.9009536,79.9150724,Mahindarama,6.898170622821358,79.90603395405037,Bus station
Rajamalwatta,6.9009536,79.9150724,Diyawannawa Bus Hault,6.903422832489014,79.90692901611328,Bus station
Rajamalwatta,6.9009536,79.9150724,Ethulkotte Junction,6.90442216085428,79.90565129541184,Bus station
Rajamalwatta,6.9009536,79.9150724,374 Bus Halt,6.902261734008789,79.91900634765625,Bus station
Pahalawela,6.8905834,79.924918,Palawathta Junction,6.889611758848715,79.92953692698619,Bus station
Pahalawela,6.8905834,79.924918,Kandy Intercity Bus Terminal,6.89757776260376,79.92950439453125,Bus station
Wellangiriya,6.8779645,79.9542438,Kalalgoda (Malabe Rd),6.8723935681843,79.95704925241533,Bus station
Wellangiriya,6.8779645,79.9542438,Hokandara 689 Bus stop,6.8803756427693195,79.95928373632191,Bus station
Hokandara South,6.872908,79.9654324,Kalalgoda (Malabe Rd),6.8723935681843,79.95704925241533,Bus station
Hokandara South,6.872908,79.9654324,Hokandara 689 Bus stop,6.8803756427693195,79.95928373632191,Bus station
Koswatta,6.9005375,79.8954802,Koswatte Junction,6.900341292125451,79.89438398439444,Bus station
Koswatta,6.9005375,79.8954802,Top Of The Lane,6.906745506631871,79.90040870411153,Bus station
Koswatta,6.9005375,79.8954802,Welikada Bus Stand,6.906944,79.895331,Bus station
Koswatta,6.9005375,79.8954802,Bus Halt,6.908521173695136,79.89746200080755,Bus station
Koswatta,6.9005375,79.8954802,Koswatte Junction,6.900341292125451,79.89438398439444,Bus station
Koswatta,6.9005375,79.8954802,Top Of The Lane,6.906745506631871,79.90040870411153,Bus station
Koswatta,6.9005375,79.8954802,Welikada Bus Stand,6.906944,79.895331,Bus station
Koswatta,6.9005375,79.8954802,Bus Halt,6.908521173695136,79.89746200080755,Bus station
Mirihana South,6.8762544,79.9045771,Jubile Post Bus Stand,6.876104456356638,79.90043057167004,Bus station
Mirihana South,6.8762544,79.9045771,Mirihana Bus Stand,6.873994469129086,79.90170981436641,Bus station
Mirihana South,6.8762544,79.9045771,Bus Route 689,6.870491032060541,79.89847340362131,Bus station
Mirihana South,6.8762544,79.9045771,Bus Halt,6.874534559603123,79.8966802057888,Bus station
Mirihana South,6.8762544,79.9045771,Thilaka Bakery Bus Stop,6.871896620380261,79.90520303602797,Bus station
Mirihana North,6.8796652,79.9094751,Jubile Post Bus Stand,6.876104456356638,79.90043057167004,Bus station
Mirihana North,6.8796652,79.9094751,Thilaka Bakery Bus Stop,6.871896620380261,79.90520303602797,Bus station
Mirihana North,6.8796652,79.9094751,Metiambalama junction,6.88801343053743,79.90280863616304,Bus station
Madiwela,6.8773153,79.9234678,Madiwela Juntion,6.878812677298836,79.92172698691422,Bus station
Madiwela,6.8773153,79.9234678,153 Bus Hault,6.877700461807521,79.92470020222807,Bus station
Thalawathugoda West,6.8709078,79.9332613,Sri Jayewardena Bus Halt,6.866282129862092,79.92695190844913,Bus station
Kalalgoda,6.8699681,79.9514464,Kalalgoda (Malabe Rd),6.8723935681843,79.95704925241533,Bus station
Kottawa East,6.8557414,79.9668308,Pola Handiya,6.851152636806442,79.97012754628597,Bus station
Kottawa East,6.8557414,79.9668308,Sirimal Watta,6.857819101387432,79.96983803133988,Bus station
Depanama,6.8604633,79.9446302,Ambagashathara Junction,6.851802185825848,79.9463404188516,Bus station
Pamunuwa,6.8589743,79.9318623,Sri Jayewardena Bus Halt,6.866282129862092,79.92695190844913,Bus station
