DS,GN,GN Number,Both sexes,Male,Female,Latitude,Longitude
Kaduwela,Batapotha,479E,7582,3761,3821,6.901428,79.9374582
Kaduwela,Pothuarawa,477C,7422,3572,3850,6.897724,79.9500477
Kaduwela,Hokandara North,494,6238,3116,3122,6.8929026,79.9724245
Kaduwela,Oruwala,487,4501,2165,2336,6.8829038,80.0003875
Kaduwela,Athurugiriya,490,5799,2783,3016,6.8723185,80.0003875
Kaduwela,Thaldiyawala,490B,3027,1458,1569,6.8720841,79.9892034
Kaduwela,Boralugoda,489A,3149,1553,1596,6.8811403,79.9794161
Kaduwela,Hokandara East,494A,5113,2548,2565,6.877024,79.9724245
Kaduwela,Arangala,494B,5512,2784,2728,6.8860799,79.9626354
Kaduwela,Evarihena,495A,2607,1245,1362,6.8832567,79.9542438
Kaduwela,Kumaragewatta,479D,5076,2480,2596,6.885066,79.9358798
Kaduwela,Jayawadanagama,479,2208,1035,1173,6.8862842,79.9409555
Kaduwela,Aruppitiya,479F,2354,1162,1192,6.8960753,79.9346603
Kaduwela,Asiri Uyana,479B,3057,1452,1605,6.8939867,79.9297637
Kaduwela,Battaramulla South,492A,1580,736,844,6.8957198,79.9178709
Kaduwela,Rajamalwatta,492D,2014,1005,1009,6.9009536,79.9150724
Kaduwela,Pahalawela,479A,4442,2109,2333,6.8905834,79.924918
Kaduwela,Wickramasinghapura,479C,3136,1532,1604,6.8809624,79.9395566
Kaduwela,Wellangiriya,495,4725,2306,2419,6.8779645,79.9542438
Kaduwela,Hokandara South,494C,5548,2737,2811,6.872908,79.9654324
Kaduwela,Athurugiriya South,490A,3718,1834,1884,6.8629701,79.9961936
Homagama,Jalthara,449,7292,3581,3711,6.8997233,80.0451095
Homagama,Henpita,451,1484,763,721,6.9038994,80.0548894
Homagama,Atigala West,446A,1501,728,773,6.8880147,80.0548894
Homagama,Atigala East,446,1921,958,963,6.8947788,80.0618743
Homagama,Batawala,450,1771,845,926,6.877427,80.0548894
Homagama,Walpita,450A,1654,816,838,6.8851342,80.0437123
Homagama,Nawalamulla,482D,3005,1481,1524,6.8732532,80.0451095
Homagama,Meegasmulla,482E,3022,1558,1464,6.8729032,80.0283415
Homagama,Habarakada North,481,2723,1356,1367,6.8793148,80.0185586
Homagama,Mullegama North,481D,1256,592,664,6.8878433,80.0150644
Homagama,Mullegama South,481A,3142,1515,1627,6.8778452,80.0115701
Homagama,Habarakada South,481B,2406,1167,1239,6.8686127,80.0129679
Homagama,Panagoda Town,482B,1755,838,917,6.8656117,80.0276427
Homagama,Henawatta,482C,6703,3272,3431,6.8625518,80.0395205
Homagama,Meegoda North,447,3060,1502,1558,6.8641948,80.0548894
Homagama,Panaluwa,447B,4725,2424,2301,6.8737188,80.0674619
Homagama,Watareka North,448B,4165,2065,2100,6.8578409,80.0674619
Homagama,Meegoda South,447A,2105,1040,1065,6.8562568,80.0548894
Homagama,Godagama North,483,1403,720,683,6.8557917,80.0325338
Homagama,Panagoda West,482,3070,1505,1565,6.8582627,80.0241489
Homagama,Panagoda East,482A,1400,1033,367,6.858146,80.0185586
Homagama,Habarakada Watta,481C,3064,1491,1573,6.8606166,80.0101724
Homagama,Homagama North,486,1800,931,869,6.8552671,80.0073768
Homagama,Homagama West,486B,3240,1588,1652,6.8551503,80.0017854
Homagama,Homagama South,486F,3128,1583,1545,6.8510363,79.9947956
Homagama,Galavilawatta North,486C,3525,1687,1838,6.8444528,79.9961936
Homagama,Homagama Town,486A,2873,1568,1305,6.8447444,80.0101724
Homagama,Homagama East,486D,2207,1040,1167,6.8499764,80.0073768
Homagama,Pitipana Town,484B,3062,1595,1467,6.8456532,80.0220526
Homagama,Godagama South,483A,3154,1527,1627,6.8478552,80.0325338
