DS,GN,GN Number,Both sexes,Male,Female
Homagama,Meegoda South,447A,"2,105","1,040","1,065"
Homagama,Godagama North,483,"1,403",720,683
Homagama,Panagoda West,482,"3,070","1,505","1,565"
Homagama,Panagoda East,482A,"1,400","1,033",367
Homagama,Habarakada Watta,481C,"3,064","1,491","1,573"
Homagama,Homagama North,486,"1,800",931,869
Homagama,Homagama West,486B,"3,240","1,588","1,652"
Homagama,Homagama South,486F,"3,128","1,583","1,545"
Homagama,Galavilawatta North,486C,"3,525","1,687","1,838"
Homagama,Homagama Town,486A,"2,873","1,568","1,305"
Homagama,Homagama East,486D,"2,207","1,040","1,167"
Homagama,Pitipana Town,484B,"3,062","1,595","1,467"
Homagama,Godagama South,483A,"3,154","1,527","1,627"
Homagama,Kurunduwatta,448C,"3,867","1,828","2,039"
Homagama,Gehenuwala,447C,"2,035","1,006","1,029"
Homagama,Watareka South,448,"6,457","3,111","3,346"
Homagama,Ovitigama,448A,"4,701","2,325","2,376"
Homagama,Kandanawatta,484D,"2,771","1,309","1,462"
Homagama,Kiriberiyakele,484F,"3,332","1,585","1,747"
Homagama,Mawathgama,485,"2,472","1,217","1,255"
Homagama,Katuwana,486E,"4,223","2,119","2,104"
Homagama,Galavilawatta South,486G,"3,360","1,630","1,730"
Homagama,Niyandagala,499A,"3,845","1,738","2,107"
Homagama,Hiripitiya,499G,"4,467","2,179","2,288"
Homagama,Mambulgoda,500A,"2,983","1,467","1,516"
Homagama,Kithulhena,591C,"1,581",768,813
Homagama,Siddamulla North,591,"2,429","1,156","1,273"
Homagama,Siddamulla South,591B,"2,452","1,183","1,269"
Homagama,Mattegoda West,587,"4,931","2,333","2,598"
Homagama,Mattegoda Central 'A',587A,"1,894",834,"1,060"
Homagama,Mattegoda East,587C,"3,594","1,806","1,788"
Homagama,Brahmanagama,500,"4,655","2,389","2,266"
Homagama,Deepangoda,590B,"3,278","1,582","1,696"
Homagama,Magammana West,590A,"2,502","1,203","1,299"
Homagama,Magammana East,590,"4,039","1,965","2,074"
Homagama,Uduwana,485A,"3,192","1,570","1,622"
Homagama,Prasannapura,484G,"2,679","1,293","1,386"
Homagama,Pitipana North,484,"3,762","1,858","1,904"
Homagama,Suwapubudugama,484E,"2,127","1,046","1,081"
Homagama,Pitipana South,484A,"2,888","1,378","1,510"
Homagama,Dolahena,484C,"3,981","1,961","2,020"
Homagama,Diyagama East,589,"1,529",749,780
Homagama,Diyagama West,589A,"1,942",933,"1,009"
Homagama,Kirigampamunuwa,588,"3,189","1,554","1,635"
Homagama,Mattegoda Central 'B',587B,"2,968","1,385","1,583"
